timestamp, memory.used [MiB], memory.total [MiB], utilization.gpu [%], utilization.memory [%], power.draw [W]
2026/04/02 13:53:36.341, 82883 MiB, 97887 MiB, 0 %, 0 %, 234.13 W
2026/04/02 13:53:38.346, 83045 MiB, 97887 MiB, 0 %, 0 %, 133.88 W
2026/04/02 13:53:40.346, 83045 MiB, 97887 MiB, 0 %, 0 %, 110.45 W
2026/04/02 13:53:42.346, 93109 MiB, 97887 MiB, 100 %, 32 %, 258.37 W
2026/04/02 13:53:44.346, 93109 MiB, 97887 MiB, 100 %, 33 %, 350.02 W
2026/04/02 13:53:46.347, 93889 MiB, 97887 MiB, 100 %, 33 %, 350.06 W
2026/04/02 13:53:48.347, 94149 MiB, 97887 MiB, 100 %, 33 %, 350.09 W
2026/04/02 13:53:50.347, 94149 MiB, 97887 MiB, 100 %, 29 %, 350.52 W
2026/04/02 13:53:52.347, 84005 MiB, 97887 MiB, 0 %, 0 %, 278.02 W
2026/04/02 13:53:54.347, 0 MiB, 97887 MiB, 86 %, 51 %, 130.43 W
2026/04/02 13:53:56.347, 0 MiB, 97887 MiB, 0 %, 0 %, 136.04 W
2026/04/02 13:53:58.348, 0 MiB, 97887 MiB, 0 %, 0 %, 73.19 W
2026/04/02 13:54:00.348, 0 MiB, 97887 MiB, 0 %, 0 %, 71.15 W
2026/04/02 13:54:02.349, 0 MiB, 97887 MiB, 0 %, 0 %, 54.28 W
2026/04/02 13:54:04.349, 1 MiB, 97887 MiB, 0 %, 0 %, 29.03 W
2026/04/02 13:54:06.354, 3 MiB, 97887 MiB, 0 %, 0 %, 35.29 W
2026/04/02 13:54:08.354, 3 MiB, 97887 MiB, 0 %, 0 %, 29.02 W
2026/04/02 13:54:10.355, 3 MiB, 97887 MiB, 0 %, 0 %, 28.84 W
2026/04/02 13:54:12.355, 559 MiB, 97887 MiB, 0 %, 0 %, 37.38 W
2026/04/02 13:54:14.355, 82745 MiB, 97887 MiB, 0 %, 0 %, 148.34 W
2026/04/02 13:54:16.356, 0 MiB, 97887 MiB, 0 %, 0 %, 139.19 W
2026/04/02 13:54:18.356, 0 MiB, 97887 MiB, 0 %, 0 %, 71.32 W
2026/04/02 13:54:20.357, 0 MiB, 97887 MiB, 0 %, 0 %, 65.45 W
2026/04/02 13:54:22.358, 0 MiB, 97887 MiB, 0 %, 0 %, 47.12 W
2026/04/02 13:54:24.359, 0 MiB, 97887 MiB, 0 %, 0 %, 27.60 W
2026/04/02 13:54:26.359, 0 MiB, 97887 MiB, 0 %, 0 %, 27.42 W
2026/04/02 13:54:28.360, 0 MiB, 97887 MiB, 0 %, 0 %, 27.18 W
2026/04/02 13:54:30.361, 0 MiB, 97887 MiB, 0 %, 0 %, 27.15 W
2026/04/02 13:54:32.362, 0 MiB, 97887 MiB, 0 %, 0 %, 26.85 W
2026/04/02 13:54:34.362, 0 MiB, 97887 MiB, 0 %, 0 %, 26.42 W
2026/04/02 13:54:36.363, 0 MiB, 97887 MiB, 0 %, 0 %, 26.58 W
2026/04/02 13:54:38.364, 0 MiB, 97887 MiB, 0 %, 0 %, 26.70 W
2026/04/02 13:54:40.365, 0 MiB, 97887 MiB, 0 %, 0 %, 26.76 W
2026/04/02 13:54:42.365, 0 MiB, 97887 MiB, 0 %, 0 %, 27.05 W
2026/04/02 13:54:44.365, 0 MiB, 97887 MiB, 0 %, 0 %, 26.68 W
2026/04/02 13:54:46.366, 0 MiB, 97887 MiB, 0 %, 0 %, 26.37 W
2026/04/02 13:54:48.367, 0 MiB, 97887 MiB, 0 %, 0 %, 26.39 W
2026/04/02 13:54:50.367, 0 MiB, 97887 MiB, 0 %, 0 %, 26.14 W
2026/04/02 13:54:52.368, 0 MiB, 97887 MiB, 0 %, 0 %, 25.99 W
2026/04/02 13:54:54.368, 0 MiB, 97887 MiB, 0 %, 0 %, 26.14 W
2026/04/02 13:54:56.369, 0 MiB, 97887 MiB, 0 %, 0 %, 25.99 W
2026/04/02 13:54:58.370, 0 MiB, 97887 MiB, 0 %, 0 %, 26.01 W
2026/04/02 13:55:00.371, 0 MiB, 97887 MiB, 0 %, 0 %, 26.05 W
2026/04/02 13:55:02.371, 0 MiB, 97887 MiB, 0 %, 0 %, 25.62 W
2026/04/02 13:55:04.372, 0 MiB, 97887 MiB, 0 %, 0 %, 25.40 W
2026/04/02 13:55:06.372, 0 MiB, 97887 MiB, 0 %, 0 %, 25.57 W
2026/04/02 13:55:08.373, 0 MiB, 97887 MiB, 0 %, 0 %, 25.50 W
2026/04/02 13:55:10.373, 0 MiB, 97887 MiB, 0 %, 0 %, 25.41 W
2026/04/02 13:55:12.374, 0 MiB, 97887 MiB, 0 %, 0 %, 25.27 W
2026/04/02 13:55:14.374, 0 MiB, 97887 MiB, 0 %, 0 %, 25.53 W
2026/04/02 13:55:16.375, 0 MiB, 97887 MiB, 0 %, 0 %, 25.39 W
2026/04/02 13:55:18.376, 0 MiB, 97887 MiB, 0 %, 0 %, 25.18 W
2026/04/02 13:55:20.376, 0 MiB, 97887 MiB, 0 %, 0 %, 25.23 W
2026/04/02 13:55:22.377, 0 MiB, 97887 MiB, 0 %, 0 %, 25.29 W
2026/04/02 13:55:24.378, 0 MiB, 97887 MiB, 0 %, 0 %, 24.99 W
2026/04/02 13:55:26.379, 0 MiB, 97887 MiB, 0 %, 0 %, 24.99 W
2026/04/02 13:55:28.379, 0 MiB, 97887 MiB, 0 %, 0 %, 24.84 W
2026/04/02 13:55:30.380, 0 MiB, 97887 MiB, 0 %, 0 %, 24.75 W
2026/04/02 13:55:32.381, 0 MiB, 97887 MiB, 0 %, 0 %, 24.78 W
2026/04/02 13:55:34.382, 0 MiB, 97887 MiB, 0 %, 0 %, 24.46 W
2026/04/02 13:55:36.382, 0 MiB, 97887 MiB, 0 %, 0 %, 24.61 W
2026/04/02 13:55:38.383, 0 MiB, 97887 MiB, 0 %, 0 %, 24.51 W
